datetime,open,high,low,close,volume
2025-12-02 03:00:00+00:00,86554.5,87174.5,86221.0,86999.0,209.23376184
2025-12-02 04:00:00+00:00,86999.0,87280.0,86920.5,86987.0,206.92747567
2025-12-02 05:00:00+00:00,86986.5,87138.0,86849.0,87012.5,117.70041844
2025-12-02 06:00:00+00:00,87027.5,87201.5,86874.0,87121.5,172.82114896
2025-12-02 07:00:00+00:00,87116.5,87134.0,86901.5,87020.5,242.42085964
2025-12-02 08:00:00+00:00,87021.0,87046.5,86355.0,86452.5,378.53773831
2025-12-02 09:00:00+00:00,86452.5,87000.0,86452.0,86787.0,227.38176965
2025-12-02 10:00:00+00:00,86786.5,87624.5,86780.0,87295.0,282.6202113
2025-12-02 11:00:00+00:00,87304.0,87633.0,87021.5,87372.0,438.86554734
2025-12-02 12:00:00+00:00,87388.5,87563.5,87217.5,87288.0,162.49171565
2025-12-02 13:00:00+00:00,87288.0,87898.0,87077.5,87743.5,481.57262736
2025-12-02 14:00:00+00:00,87751.0,89314.5,87625.0,89298.0,1752.62856063
2025-12-02 15:00:00+00:00,89306.5,91223.5,89306.5,90886.5,1646.70235363
2025-12-02 16:00:00+00:00,90887.0,91320.5,90232.5,90750.5,853.50034061
2025-12-02 17:00:00+00:00,90765.0,92081.0,90765.0,91463.5,654.35573216
2025-12-02 18:00:00+00:00,91480.5,92251.0,91408.0,91997.5,542.26281003
2025-12-02 19:00:00+00:00,91988.5,92351.0,91861.0,91925.0,390.51308183
2025-12-02 20:00:00+00:00,91937.5,91967.0,90783.0,91070.0,571.67716096
2025-12-02 21:00:00+00:00,91053.5,91687.5,91000.5,91635.0,203.55802183
2025-12-02 22:00:00+00:00,91620.0,92087.0,91579.0,92031.0,205.67116533
2025-12-02 23:00:00+00:00,92042.5,92042.5,91330.0,91330.0,200.8615458
2025-12-03 00:00:00+00:00,91326.5,91793.5,91029.5,91695.5,260.36088055
2025-12-03 01:00:00+00:00,91699.5,92527.0,91512.0,92276.0,321.79782352
2025-12-03 02:00:00+00:00,92286.5,93096.0,92200.5,92849.5,613.21611926
2025-12-03 03:00:00+00:00,92849.5,93096.0,92638.5,92665.0,421.77465979
2025-12-03 04:00:00+00:00,92660.0,93467.0,92646.5,93350.0,762.70962602
2025-12-03 05:00:00+00:00,93374.0,93676.5,93132.5,93667.5,389.77672256
2025-12-03 06:00:00+00:00,93668.0,94000.0,93197.0,93478.5,692.93156656
2025-12-03 07:00:00+00:00,93478.5,93514.5,92916.0,93064.5,676.97929619
2025-12-03 08:00:00+00:00,93073.0,93240.0,92715.5,92811.5,457.92326679
2025-12-03 09:00:00+00:00,92800.5,93266.5,92769.0,93222.5,194.26866368
2025-12-03 10:00:00+00:00,93222.5,93424.5,92919.0,92970.5,241.82724605
2025-12-03 11:00:00+00:00,92987.0,93099.5,92672.0,93036.0,184.84208816
2025-12-03 12:00:00+00:00,93049.5,93150.0,92725.0,92965.5,175.30105037
2025-12-03 13:00:00+00:00,92965.0,93293.5,92929.0,93177.0,175.20288235
2025-12-03 14:00:00+00:00,93171.5,93719.0,91731.5,92383.5,1163.56280911
2025-12-03 15:00:00+00:00,92384.0,93011.5,91961.0,92399.5,602.23820733
2025-12-03 16:00:00+00:00,92414.5,92797.5,91829.5,92299.5,322.59213887
2025-12-03 17:00:00+00:00,92283.5,93092.5,92237.0,93009.5,361.76177705
2025-12-03 18:00:00+00:00,93004.5,93569.0,92420.0,92643.5,460.31113394
2025-12-03 19:00:00+00:00,92649.5,93128.0,92570.5,93060.0,200.53536232
2025-12-03 20:00:00+00:00,93081.0,93416.0,92878.0,93007.5,215.37071471
2025-12-03 21:00:00+00:00,93003.0,93798.0,92887.5,93747.0,333.34240833
2025-12-03 22:00:00+00:00,93728.0,94228.5,93333.5,93825.5,410.07574677
2025-12-03 23:00:00+00:00,93825.5,94155.5,93435.5,93496.5,263.3065916
2025-12-04 00:00:00+00:00,93482.0,93518.5,92704.5,93090.0,334.09566633
2025-12-04 01:00:00+00:00,93083.0,93799.5,93025.5,93205.5,294.05288119
2025-12-04 02:00:00+00:00,93232.0,94120.0,93150.5,93968.0,361.26849349
2025-12-04 03:00:00+00:00,93982.0,94123.0,93422.5,93540.0,787.57645818
2025-12-04 04:00:00+00:00,93540.5,93592.0,93250.5,93383.0,254.4437822
